ECU;Gustavo Alfaro;14/08/1962;ARG
NED;Louis van Gaal;08/08/1951;NED
QAT;Félix Sánchez;13/12/1975;ESP
SEN;Aliou Cissé;24/03/1976;SEN
ENG;Gareth Southgate;03/09/1970;ENG
IRN;Carlos Queiroz;01/03/1953;POR
USA;Gregg Berhalter;01/08/1973;USA
WAL;Rob Page;03/09/1974;WAL
ARG;Lionel Scaloni;16/05/1978;ARG
MEX;Gerardo Martino;20/11/1962;ARG
POL;Czesław Michniewicz;12/02/1970;POL
KSA;Hervé Renard;30/09/1968;FRA
AUS;Graham Arnold;03/08/1963;AUS
DEN;Kasper Hjulmand;09/04/1972;DEN
FRA;Didier Deschamps;15/10/1968;FRA
TUN;Jalel Kadri;14/12/1971;TUN
CRC;Luis Fernando Suárez;23/12/1959;COL
GER;Hansi Flick;24/02/1965;GER
JPN;Hajime Moriyasu;23/08/1968;JPN
ESP;Luis Enrique;08/05/1970;ESP
BEL;Roberto Martínez;13/07/1973;ESP
CAN;John Herdman;19/07/1975;ENG
CRO;Zlatko Dalić;26/10/1966;CRO
MAR;Walid Regragui;23/09/1975;MAR
BRA;Tite;25/05/1961;BRA
CMR;Rigobert Song;01/07/1976;CMR
SRB;Dragan Stojković;03/03/1965;SRB
SUI;Murat Yakin;15/09/1974;SUI
GHA;Otto Addo;09/06/1975;GHA
POR;Fernando Santos;10/10/1954;POR
KOR;Paulo Bento;20/06/1969;POR
URU;Diego Alonso;16/04/1975;URU
